r	a	alpha	phi1	phi2	psi1	psi2	pi1	pi2	m
2.860001	1.1764853613965953	0.8020398986458468	0.12135684868829873	0.0	-0.08247072247836655	0.0	0.0	-0.13246791664389276	0.445378162517409
2.880001	1.176421506019188	0.8032016232694008	0.11971721768585984	0.0	-0.08149321132489884	0.0	0.0	-0.13042489755859407	0.4482636018288519
2.900001	1.1763373879968535	0.8043543231169689	0.11809708597905177	0.0	-0.08052083801539713	0.0	0.0	-0.12841046469096654	0.45110747022390546
2.920001	1.1762335414142338	0.8054980074213367	0.11649634815208945	0.0	-0.07955386610078011	0.0	0.0	-0.12642441055334877	0.4539100110280949
2.940001	1.1761104965918692	0.8066326886640595	0.11491489365741187	0.0	-0.07859254526481059	0.0	0.0	-0.12446651928634085	0.45667148167972166
2.960001	1.1759687796357035	0.8077583824422337	0.113352607089585	0.0	-0.07763711166880886	0.0	0.0	-0.12253656718998276	0.4593921529514367
2.980001	1.1758089120158979	0.808875107337901	0.11180936845227232	0.0	-0.07668778830001576	0.0	0.0	-0.1206343232409246	0.4620723081930591
3.000001	1.175631410174241	0.8099828847901549	0.11028505341820959	0.0	-0.07574478532263906	0.0	0.0	-0.1187595495953092	0.46471224259570015
3.020001	1.175436785159409	0.8110817389700138	0.10877953358213953	0.0	-0.07480830043067185	0.0	0.0	-0.11691200207714283	0.4673122624771923
3.040001	1.1752255422892874	0.8121716966581103	0.1072926767066797	0.0	-0.07387851920162522	0.0	0.0	-0.11509143065198459	0.4698726845887859
3.060001	1.1749981808395453	0.8132527871252409	0.1058243469611132	0.0	-0.07295561545037141	0.0	0.0	-0.11329757988583293	0.4723938354430279
3.080001	1.1747551937576202	0.8143250420158081	0.10437440515310778	0.0	-0.0720397515823459	0.0	0.0	-0.11153018938913715	0.4748760506626992
3.1000010000000002	1.1744970674012616	0.8153884952341819	0.10294270895338317	0.0	-0.07113107894540822	0.0	0.0	-0.10978899424590421	0.477319674350653
3.1200010000000002	1.1742242813007604	0.8164431828339963	0.10152911311336008	0.0	-0.07022973817971145	0.0	0.0	-0.10807372542791294	0.47972505848036257
3.1400010000000003	1.1739373079439832	0.8174891429103929	0.10013346967583674	0.0	-0.06933585956497941	0.0	0.0	-0.10638411019408552	0.4820925623069503
3.1600010000000003	1.1736366125833262	0.8185264154952123	0.09875562817875054	0.0	-0.06844956336463752	0.0	0.0	-0.10471987247510166	0.4844225517984594
3.1800010000000003	1.1733226530636975	0.8195550424551328	0.09739543585209272	0.0	-0.06757096016628937	0.0	0.0	-0.10308073324337308	0.48671539908708145
3.2000010000000003	1.1729958796706415	0.8205750673927448	0.09605273780805398	0.0	-0.06670015121807497	0.0	0.0	-0.10146641086852545	0.4889714819400514
3.2200010000000003	1.1726567349977193	0.8215865355505481	0.09472737722448772	0.0	-0.06583722876048907	0.0	0.0	-0.09987662145856242	0.49119118324989286
