r	a	alpha	phi1	phi2	psi1	psi2	pi1	pi2	m	Sigmata
2.980001	1.2039593352792421	0.7813833235587521	0.11180936845227232	0.0	-0.07668778830001576	0.0	0.0	-0.1206343232409246	0.4620723081930591	0.9407537468300802
3.000001	1.2036911234218444	0.7827231725833064	0.11028505341820959	0.0	-0.07574478532263906	0.0	0.0	-0.1187595495953092	0.46471224259570015	0.9421569349351102
3.020001	1.2034036056217465	0.7840511938601693	0.10877953358213953	0.0	-0.07480830043067185	0.0	0.0	-0.11691200207714283	0.4673122624771923	0.9435300336833627
3.040001	1.2030973892557961	0.7853674419195452	0.1072926767066797	0.0	-0.07387851920162522	0.0	0.0	-0.11509143065198459	0.4698726845887859	0.9448735189799079
3.060001	1.2027730733718411	0.7866719742074916	0.1058243469611132	0.0	-0.07295561545037141	0.0	0.0	-0.11329757988583293	0.4723938354430279	0.9461878681530383
3.080001	1.2024312483863797	0.7879648509291134	0.10437440515310778	0.0	-0.0720397515823459	0.0	0.0	-0.11153018938913715	0.4748760506626992	0.9474735593872814
3.1000010000000002	1.2020724958118023	0.7892461348961429	0.10294270895338317	0.0	-0.07113107894540822	0.0	0.0	-0.10978899424590421	0.477319674350653	0.9487310711844249
3.1200010000000002	1.2016973880120645	0.7905158913789048	0.10152911311336008	0.0	-0.07022973817971145	0.0	0.0	-0.10807372542791294	0.47972505848036257	0.9499608818520587
3.1400010000000003	1.201306487985621	0.7917741879626605	0.10013346967583674	0.0	-0.06933585956497941	0.0	0.0	-0.10638411019408552	0.4820925623069503	0.9511634690190907
3.1600010000000003	1.2009003491744585	0.7930210944083156	0.09875562817875054	0.0	-0.06844956336463752	0.0	0.0	-0.10471987247510166	0.4844225517984594	0.9523393091776574
3.1800010000000003	1.2004795152980607	0.794256682517463	0.09739543585209272	0.0	-0.06757096016628937	0.0	0.0	-0.10308073324337308	0.48671539908708145	0.9534888772508097
3.2000010000000003	1.200044520211155	0.795481026001732	0.09605273780805398	0.0	-0.06670015121807497	0.0	0.0	-0.10146641086852545	0.4889714819400514	0.9546126461853257
3.2200010000000003	1.199595887784098	0.796694200356403	0.09472737722448772	0.0	-0.06583722876048907	0.0	0.0	-0.09987662145856242	0.49119118324989286	0.9557110865689813
3.2400010000000004	1.1991341318047737	0.7978962827382415	0.09341919552178542	0.0	-0.06498227635327883	0.0	0.0	-0.09831107918691062	0.49337489054367284	0.9567846662715775
